parcel_id,owner_name,class_code,lot_size_acres,land_value,building_value,total_value,year_built,building_style,building_grade,living_area_sqft,total_rooms,bedrooms,full_baths,half_baths,heating_type,heating_fuel,ac_type,roof_material,exterior_walls,stories,zoning,last_sale_price,last_sale_date,condition_percent
3-37,"BLEYLER, PETER A 1995 TRST",1010,0.52,140100,551400,691500,1996.0,RANCH,GOOD,2612.0,6.0,3.0,2.0,1.0,FORCED H/W,GAS,,ASPHALT SH,VINYL,1,R3,405000.0,2013-09-23 00:00:00,94.0
3-38,DUCHAINE B C & F O TTEES,1010,0.48,134400,432500,566900,1973.0,RANCH,GOOD,2020.0,8.0,4.0,2.0,1.0,FORCED H/W,OIL,,ASPHALT SH,CLAPBOARD,1,R3,0.0,2024-02-28 00:00:00,83.0
3-39,"HANO, GEORGE TTEE",1010,0.89,159400,600200,759600,1980.0,RANCH,GOOD,3256.0,8.0,3.0,1.0,0.0,FORCED H/A,GAS,,ASPHALT SH,VINYL,1,R3,0.0,2011-01-12 00:00:00,86.0
3-40,"GREENSTEIN, S M & L J CO-TTEES",1010,0.96,159200,449500,609900,1970.0,SPLIT LVL,AVG. (+),2564.0,10.0,4.0,2.0,1.0,FORCED H/W,OIL,,ASPHALT SH,BOARD+BATT,1,R3,0.0,2015-07-10 00:00:00,82.0
3-41,FOLEY LAURA DAVIES,1010,0.51,139400,327300,467900,1970.0,RANCH,AVERAGE,1775.0,5.0,1.0,2.0,1.0,FORCED H/W,GAS,,STD SEAM,VINYL,1,R3,779000.0,2023-08-11 00:00:00,86.0
3-42,"ROGERS, F A & F L CO-TTEES",1010,0.52,140100,307800,448200,1984.0,RANCH,AVG. (+),1414.0,7.0,3.0,1.0,0.0,FORCED H/W,OIL,,STD SEAM,VINYL,1,R3,0.0,2011-12-05 00:00:00,91.0
3-43,"SLETTEN, R S & B E TTEES",1010,0.57,143700,332500,476200,1967.0,COLONIAL,AVG. (+),2015.0,8.0,4.0,1.0,1.0,FORCED H/W,OIL,,ASPHALT SH,VINYL,2,R3,0.0,2012-02-09 00:00:00,82.0
4-1,"SCHEIDT-HOOPES, LLC",342R,2.39,176100,498300,678000,1950.0,RANCH,AVERAGE,2235.0,5.0,3.0,3.0,0.0,FORCED H/W,OIL,,ASPHALT SH,VINYL,1,R3,0.0,2019-04-26 00:00:00,71.0
4-2,"COFFEY, ELEANOR D TTEE",1010,0.53,101200,165200,274000,1900.0,BUNGALOW,AVERAGE,1406.0,8.0,3.0,2.0,0.0,FORCED H/W,OIL,,ASPHALT SH,ALUMINUM,1H,R3,0.0,2002-05-13 00:00:00,67.0
4-4,WHEELER OFFICE PARK LLC,3400,2.339991,657600,1184500,1889900,1973.0,OFFICE,Average,4500.0,0.0,0.0,0.0,0.0,FORCED H/A,OIL,,ASPHALT SH,BOARD+BATT,2,R3,2175000.0,2008-01-31 00:00:00,66.0
4-5,OCCUM PATH INC,3910,4.62,672000,0,672000,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,R3,2000000.0,2025-02-11 00:00:00,
4-6,OCCUM PATH INC,1010,0.76,156800,235600,392400,1978.0,RANCH,AVERAGE,1296.0,5.0,3.0,2.0,0.0,FORCED H/W,OIL,,ASPHALT SH,AVERAGE,1,R3,2000000.0,2025-02-11 00:00:00,83.0
4-7,SWENSON RAND,1010,0.7,154100,445000,599400,1974.0,COLONIAL,AVERAGE,3293.0,10.0,4.0,2.0,1.0,FORCED H/W,OIL,,METAL,VINYL,2,R3,131000.0,1994-07-01 00:00:00,86.0
4-8,BECKER D R & DRAKE R E TTEES,1010,0.76,156800,308300,465100,1970.0,CONTEMPORY,AVG. (-),2400.0,8.0,4.0,3.0,0.0,FORCED H/W,OIL,,STD SEAM,WOOD,1,R3,0.0,2025-06-12 00:00:00,79.0
4-9,"DIGILIO, MAFELDA A TTEE",1010,1.25,160600,279100,439700,1966.0,CAPE,AVG. (+),1664.0,6.0,3.0,2.0,0.0,FORCED H/W,OIL,,ASPHALT SH,VINYL,1H,R3,0.0,2018-10-31 00:00:00,76.0
4-10,"FRIEDMAN, JEFFREY H &",1010,1.65,161700,202600,409800,1967.0,RANCH,AVERAGE,988.0,7.0,3.0,2.0,0.0,FORCED H/W,GAS,,STD SEAM,BOARD+BATT,1,R3,109100.0,1997-11-05 00:00:00,76.0
4-11,BOND G R & LINDIG K D TTEES,1010,0.6,146200,368000,514600,1964.0,COLONIAL,AVG. (+),2112.0,8.0,3.0,1.0,1.0,FORCED H/W,OIL,,ASPHALT SH,VINYL,2,R3,0.0,2025-07-07 00:00:00,79.0
4-12,"FOSTER, ETHAN A &",1010,0.64,149500,294700,456100,1975.0,SPLIT/RSD RANCH,AVG. (+),1538.0,8.0,4.0,2.0,0.0,FORCED H/W,OIL,,STD SEAM,BOARD+BATT,1,R3,144940.0,1989-08-29 00:00:00,86.0
4-13,KOSITSKY ISRAEL,1010,0.7,138700,612600,760300,2002.0,CONTEMPORY,GOOD (+),2050.0,9.0,4.0,2.0,1.0,FORCED H/W,GAS,,ASPHALT SH,CLAPBOARD,2,R3,990000.0,2024-05-02 00:00:00,93.0
4-14,"COX, TIMOTHY P & DIANA M",1010,0.78,142100,432300,574400,2016.0,CONTEMPORY,GOOD,1706.0,7.0,3.0,1.0,0.0,FORCED H/A,ELECTRIC,,ASPHALT SH,CLAPBOARD,1,R3,135000.0,2015-09-25 00:00:00,94.0
4-15,"NORDSTROM, CARLA R TTEE",1010,0.77,157200,585400,742600,1988.0,CONTEMPORY,GOOD,3124.0,9.0,4.0,2.0,1.0,FORCED H/W,OIL,,ASPHALT SH,CLAPBOARD,2,R3,0.0,2016-01-08 00:00:00,87.0
4-16,BEHRMAN EMILY L,1010,0.7,154200,596100,750300,1988.0,CONTEMPORY,GOOD,3020.0,9.0,4.0,2.0,1.0,FORCED H/W,OIL,,ASPHALT SH,CLAPBOARD,2,R3,1010000.0,2024-04-22 00:00:00,91.0
4-17,"BRINE, ERIK A",1010,5.05,175800,767400,958400,1949.0,CONTEMPORY,VERY GOOD,2664.0,8.0,3.0,2.0,1.0,FORCED H/A,OIL,,TAR+GRAVEL,CONC BLOCK,2,R3,675000.0,2004-08-20 00:00:00,74.0
4-18-100,"ANDERSON, MATTHEW &",1010,1.89,146800,532300,684400,1998.0,COLONIAL,GOOD,2302.0,6.0,3.0,2.0,1.0,FORCED H/W,GAS,,STD SEAM,VINYL,2,R3,532000.0,2017-08-03 00:00:00,94.0
4-18-200,"BUCKLEY, KIM T & BRIDGET K TTEES",1010,4.6,174000,579400,753900,2000.0,COLONIAL,GOOD,2712.0,8.0,4.0,2.0,0.0,FORCED H/W,GAS,,ASPHALT SH,VINYL,2,R3,950000.0,2022-05-28 00:00:00,91.0
4-19,"YOUNG, DAVID A & MARY E",1010,0.42,132900,520600,653700,1968.0,COLONIAL,AVG. (+),3606.0,7.0,3.0,3.0,0.0,FORCED H/W,GAS,,ASPHALT SH,VINYL,2,R3,107000.0,1998-08-27 00:00:00,79.0
4-20,HIXON WILLIAM,1010,0.44,134300,305200,454900,1967.0,RANCH,AVG. (+),1716.0,9.0,3.0,2.0,0.0,FORCED H/A,GAS,,ASPHALT SH,VINYL,1,R3,559000.0,2024-05-09 00:00:00,79.0
4-21,"REIS, JENNIFER L",1010,0.44,134300,254300,389800,1970.0,CAPE,AVG. (+),1856.0,6.0,3.0,2.0,1.0,ELECTRC BB,ELECTRIC,,ASPHALT SH,CLAPBOARD,1T,R3,252000.0,2021-04-20 00:00:00,74.0
4-22,FOREE MICHAEL D,1010,0.44,134300,283400,417700,1977.0,CAPE,AVG. (+),1700.0,6.0,4.0,1.0,0.0,ELECTRC BB,ELECTRIC,,STD SEAM,CLAPBOARD,1T,R3,610000.0,2023-05-11 00:00:00,83.0
4-23-104,"SCHIFFMAN, JOHN T TTEE",1020,0.0,0,433800,433800,1977.0,CONDO-TNHS,ADEQUATE,2357.0,6.0,4.0,1.0,0.0,FORCED H/W,GAS,,,,1T,,625000.0,2022-09-02 00:00:00,81.0
4-23-203,"GHEZZI, WILLIAM B & RIDIE W",1020,0.0,0,399700,399700,1977.0,CONDO-TNHS,ADEQUATE,2329.0,6.0,3.0,2.0,1.0,FORCED H/W,OIL,,,,1T,,260000.0,2013-06-08 00:00:00,81.0
4-23-305,"BENT, JAN BRIGHAM TTEE",1020,0.0,0,352600,352600,1977.0,CONDO-TNHS,ADEQUATE,1925.0,6.0,3.0,2.0,0.0,FORCED H/W,OIL,,,,1A,,0.0,2018-02-02 00:00:00,81.0
4-23-403,"PASINI, DONALD J & DENISE G",1020,0.0,0,411200,411200,1977.0,CONDO-TNHS,ADEQUATE,2057.0,5.0,3.0,1.0,0.0,FORCED H/W,OIL,,,,1T,,0.0,2012-06-12 00:00:00,81.0
4-23-505,"CLARKSON, ROGER & KAREN R",1020,0.0,0,340800,340800,1977.0,CONDO-TNHS,ADEQUATE,2057.0,5.0,3.0,2.0,1.0,FORCED H/W,ELECTRIC,,,,1T,,190000.0,2009-12-30 00:00:00,81.0
4-23-602,CONDON MARK A,1020,0.0,0,400000,400000,1977.0,CONDO-TNHS,ADEQUATE,2057.0,5.0,4.0,3.0,0.0,FORCED H/W,OIL,,,,1T,,590000.0,2024-05-15 00:00:00,81.0
4-23-706,"HILTON, KAREN & GEORGE TTEES",1020,0.0,0,398800,398800,1977.0,CONDO-TNHS,ADEQUATE,2190.0,7.0,3.0,2.0,1.0,FORCED H/W,GAS,,,,1T,,415000.0,2021-06-25 00:00:00,84.0
4-23-802,"BARTON, LINDA J TTEE",1020,0.0,0,375900,375900,1977.0,TNHS,ADEQUATE,1752.0,6.0,3.0,3.0,1.0,FORCED H/W,OIL,,,,1A,,0.0,2003-05-12 00:00:00,81.0
4-23-906,"BLIKE, GEORGE T &",1020,0.0,0,435100,452700,1977.0,CONDO-TNHS,ADEQUATE,2346.0,5.0,3.0,2.0,1.0,FORCED H/W,GAS,,,,1T,,310000.0,2017-08-22 00:00:00,81.0
4-23-1001,BURKLUND PATRICK,1020,0.0,0,368200,368200,1977.0,TNHS,ADEQUATE,1752.0,5.0,3.0,1.0,0.0,FORCED H/W,GAS,,,,1A,,0.0,2023-05-16 00:00:00,84.0
4-23-1107,"ASHLEY, C R & T C TRUSTEES",1020,0.0,0,362100,362100,1977.0,TNHS,ADEQUATE,1946.0,6.0,4.0,2.0,1.0,FORCED H/W,OIL,,,,1T,,339000.0,2020-04-15 00:00:00,81.0
4-23-1201,"GRALLERT, EDGAR H & ILANA",1020,0.0,0,374800,374800,1977.0,TNHS,ADEQUATE,1944.0,5.0,3.0,3.0,0.0,FORCED H/W,GAS,,,,1T,,230000.0,2015-06-03 00:00:00,81.0
4-23-1307,"BARON, JOHN A &",1020,0.0,0,385100,385100,1977.0,CONDO-TNHS,ADEQUATE,2057.0,5.0,3.0,2.0,1.0,FORCED H/W,GAS,,,,1T,,285000.0,2011-04-20 00:00:00,81.0
4-23-1418,"LAMARCA, MARY M",1020,0.0,0,342700,342700,1977.0,CONDO-TNHS,ADEQUATE,1910.0,5.0,3.0,3.0,0.0,ELECTRC BB,ELECTRIC,,,,1T,,0.0,2023-02-06 00:00:00,81.0
4-23-1508,"BALDWIN, TIMOTHY S",1020,0.0,0,411000,411000,1977.0,CONDO-TNHS,ADEQUATE,2057.0,6.0,3.0,1.0,2.0,FORCED H/W,GAS,,,,1T,,320000.0,2016-09-15 00:00:00,81.0
4-23-1618,"KIER, FRANK W &",1020,0.0,0,413600,413600,1977.0,CONDO-TNHS,ADEQUATE,2197.0,6.0,3.0,2.0,0.0,FORCED H/W,GAS,,,,1T,,195000.0,2016-09-19 00:00:00,81.0
4-23-1708,"HEALD, EDWARD S TTEE",1020,0.0,0,421600,421600,1977.0,CONDO-TNHS,ADEQUATE,2057.0,5.0,3.0,2.0,1.0,FORCED H/W,GAS,,,,1T,,0.0,2023-01-17 00:00:00,84.0
4-23-1909,"SHIMOD, SCOTT R M",1020,0.0,0,382600,382600,1977.0,CONDO-TNHS,ADEQUATE,2084.0,6.0,3.0,3.0,0.0,FORCED H/W,OIL,,,,1T,,430000.0,2022-09-14 00:00:00,81.0
4-23-2017,"MARTZ, THOMAS A",1020,0.0,0,374800,374800,1977.0,CONDO-TNHS,ADEQUATE,2042.0,5.0,2.0,2.0,1.0,FORCED H/W,OIL,,,,1T,,0.0,2020-10-21 00:00:00,81.0
4-23-2109,"MCEWEN, W C & I T, TTEES",1020,0.0,0,361300,361300,1977.0,CONDO-TNHS,ADEQUATE,2057.0,6.0,3.0,2.0,0.0,FORCED H/W,OIL,,,,1T,,0.0,2013-06-17 00:00:00,81.0
4-23-2216,WALKER ESTHER CAROL HALEY TTEE,1020,0.0,0,409100,409100,1977.0,CONDO-TNHS,ADEQUATE,2084.0,6.0,3.0,3.0,0.0,FORCED H/W,GAS,,,,1T,,0.0,2024-08-26 00:00:00,88.0
4-23-2310,HATFIELD RICHARD E,1020,0.0,0,411800,411800,1977.0,CONDO-TNHS,ADEQUATE,2281.0,5.0,3.0,2.0,0.0,FORCED H/W,OIL,,,,1T,,595000.0,2024-06-28 00:00:00,81.0
4-23-2416,"JOHNSON, JULIE A",1020,0.0,0,325700,325700,1977.0,CONDO-TNHS,ADEQUATE,1654.0,5.0,3.0,1.0,0.0,FORCED H/W,GAS,,,,1A,,400000.0,2022-05-11 00:00:00,81.0
4-23-2511,"STEPHEN, JOMYSHA",1020,0.0,0,413300,413300,1977.0,CONDO-TNHS,ADEQUATE,2117.0,6.0,4.0,3.0,1.0,FORCED H/W,GAS,,,,1T,,498000.0,2023-12-05 00:00:00,84.0
4-23-2615,"POULOS, REBECCA T TTEE",1020,0.0,0,388200,388200,1977.0,CONDO-TNHS,ADEQUATE,2258.0,5.0,2.0,3.0,0.0,FORCED H/A,OIL,,,,1T,,0.0,2018-11-02 00:00:00,81.0
4-23-2711,"HUBBLE, CHRISTOPHER L & JULIE A",1020,0.0,0,389700,389700,1977.0,CONDO-TNHS,ADEQUATE,2197.0,6.0,3.0,2.0,0.0,FORCED H/W,GAS,,,,1T,,410000.0,2022-03-03 00:00:00,81.0
4-23-2815,"TOOR, ARIF & NASIM",1020,0.0,0,392100,392100,1977.0,TNHS,ADEQUATE,2295.0,6.0,3.0,2.0,0.0,ELECTRC BB,ELECTRIC,,,,1T,,315000.0,2019-04-12 00:00:00,84.0
4-23-2912,"DE LA PENA, TEMIS A",1020,0.0,0,394900,394900,1977.0,CONDO-TNHS,ADEQUATE,2267.0,6.0,3.0,3.0,0.0,FORCED H/W,OIL,,,,1T,,298133.0,2010-06-14 00:00:00,81.0
4-23-3014,"WISE, MORTON E TTEE",1020,0.0,0,378500,378500,1977.0,CONDO-TNHS,ADEQUATE,2145.0,5.0,2.0,2.0,1.0,FORCED H/W,OIL,,,,1T,,500000.0,2021-05-19 00:00:00,81.0
4-23-3112,"ROBUSTELLI, PAUL JOSEPH",1020,0.0,0,381100,381100,1977.0,TNHS,ADEQUATE,2057.0,5.0,3.0,2.0,0.0,FORCED H/W,GAS,,,,1T,,352000.0,2020-03-12 00:00:00,81.0
4-23-3213,"GIBBS, LEVI S &",1020,0.0,0,406500,406500,1977.0,CONDO-TNHS,ADEQUATE,2249.0,6.0,4.0,2.0,0.0,FORCED H/W,GAS,,,,1T,,375000.0,2017-10-05 00:00:00,81.0
4-24,WELLSPRING WORSHIP CTR OF LEBA,9060,3.14,1970500,1369900,3447900,1988.0,CHURCH/SYN,Good,11616.0,0.0,0.0,0.0,0.0,FORCED H/W,GAS,,ASPHALT SH,FIBER CMT,1,R3,0.0,2008-11-21 00:00:00,70.0
4-25,WELLSPRING WORSHIP CTR OF LEBA,1010,0.25,74900,264300,339200,1995.0,RANCH,AVERAGE,1400.0,5.0,3.0,1.0,0.0,FORCED H/W,GAS,,ASPHALT SH,VINYL,1,R3,300000.0,2019-03-26 00:00:00,92.0
4-26,GRACE FAMILY HOME LLC,1040,0.46,87800,622500,710300,1994.0,COLONIAL,AVERAGE,3438.0,10.0,5.0,5.0,1.0,FORCED H/W,GAS,,ASPHALT SH,VINYL,2,R3,0.0,2016-09-15 00:00:00,91.0
4-27,"MATSANG, JAMPA G",1010,0.46,97600,210100,307700,1950.0,RANCH,AVERAGE,1456.0,6.0,3.0,1.0,0.0,FORCED H/W,OIL,,ASPHALT SH,WOOD SHING,1,R3,180000.0,2015-11-23 00:00:00,71.0
4-28,"SCHMIDT, RYAN B",1010,0.25,74900,261800,336700,1976.0,COLONIAL,AVERAGE,1707.0,6.0,3.0,2.0,1.0,ELECTRC BB,ELECTRIC,,STD SEAM,AVERAGE,2,R3,237533.0,2009-06-11 00:00:00,83.0
4-29,"MILLER, NICHOLAS L",1010,0.25,74900,278900,354000,1950.0,RANCH,AVERAGE,1492.0,6.0,3.0,1.0,1.0,FORCED H/W,GAS,,ASPHALT SH,WOOD SHING,1,R3,485000.0,2022-10-13 00:00:00,93.0
4-30,"MEADE JR,  E A & W B TTEES",1010,0.81,102900,391700,497200,1985.0,SPLIT/RSD RANCH,AVG. (+),2280.0,9.0,5.0,4.0,0.0,FORCED H/W,GAS,,ASPHALT SH,VINYL,1,R3,0.0,2010-12-01 00:00:00,90.0
4-31,"NICHOLS, W W & N S TTEES",1010,0.45,97100,339600,444300,1982.0,CAPE,AVG. (+),1890.0,6.0,3.0,2.0,1.0,FORCED H/W,OIL,,ASPHALT SH,VINYL,1T,R3,0.0,2016-01-26 00:00:00,90.0
4-32,"WANG, CHENGLONG",1010,0.78,113500,421100,534600,1983.0,COLONIAL,AVG. (+),2418.0,8.0,3.0,2.0,1.0,FORCED H/W,OIL,,ASPHALT SH,VINYL,2,R3,340000.0,2018-01-03 00:00:00,87.0
4-33,"NEWMEYER JR, HOWARD W",1010,0.56,142800,357900,500800,1966.0,COLONIAL,AVG. (+),1986.0,7.0,3.0,3.0,0.0,FORCED H/W,OIL,,STD SEAM,VINYL,2,R3,340000.0,2009-07-10 00:00:00,79.0
4-34,"FONTAINE, WILLIAM & NANCY H",1010,0.49,131000,258000,389000,1967.0,RANCH,AVG. (+),1398.0,6.0,3.0,1.0,0.0,FORCED H/W,OIL,,ASPHALT SH,ALUMINUM,1,R3,158000.0,1998-09-07 00:00:00,79.0
4-35,"PERRY, ANN E",1010,0.47,129700,288400,418100,1970.0,RANCH,AVG. (+),1378.0,6.0,3.0,2.0,0.0,FORCED H/W,OIL,,ASPHALT SH,VINYL,1,R3,150000.0,1998-04-14 00:00:00,79.0
4-36,"HUSTON, CHRISTOPHER C &",1010,0.46,135800,337300,484500,1970.0,RANCH,AVG. (+),2280.0,8.0,5.0,3.0,0.0,FORCED H/W,OIL,,ASPHALT SH,VINYL,1,R3,365000.0,2013-12-10 00:00:00,79.0
4-37,WEST JULIA C,1010,0.48,137200,240300,377500,1970.0,SPLIT/RSD RANCH,AVG. (+),1248.0,5.0,3.0,1.0,0.0,FORCED H/W,OIL,,ASPHALT SH,TEX 111,1,R3,610000.0,2024-02-12 00:00:00,82.0
4-38,"GANOE, CRAIG H &",1010,0.69,153700,299500,453400,1972.0,SPLIT/RSD RANCH,AVG. (+),1568.0,10.0,3.0,1.0,0.0,FORCED H/W,OIL,,ASPHALT SH,CLAPBOARD,1,R3,285000.0,2015-06-24 00:00:00,86.0
4-39,"GOAD, MICHELE R",1010,0.78,157900,244800,402700,1970.0,SPLIT/RSD RANCH,AVG. (+),1266.0,9.0,3.0,1.0,0.0,FORCED H/W,OIL,,ASPHALT SH,CLAPBOARD,1,R3,141000.0,1997-06-23 00:00:00,82.0
4-40,"TERP, JANET E TTEE",1010,0.62,147900,236100,384300,1971.0,SPLIT/RSD RANCH,AVG. (+),1248.0,6.0,4.0,2.0,0.0,ELECTRC BB,ELECTRIC,,ASPHALT SH,TEX 111,1,R3,0.0,2019-09-09 00:00:00,82.0
4-41,"MARQUARD, BRYAN K & JILL T",1010,0.74,156000,243200,399300,1970.0,SPLIT/RSD RANCH,AVG. (+),1414.0,7.0,3.0,2.0,0.0,ELECTRC BB,ELECTRIC,,ASPHALT SH,WOOD,1,R3,310000.0,2009-10-02 00:00:00,86.0
