Source File Name,Original Header,Plain Language Header,Original Position,Column Position
NHDRA,ID3 Prior Sale Date,Prior Sale 3 Date,69,
NHDRA,ID3 Prior Book Page,Prior Sale 3 Book Page,70,
Assessments,parcel_id,Parcel ID,1,
Assessments,assessment_year,Assessment Year,2,
Assessments,total_assessed_value,Total Assessed Value,3,
Assessments,land_assessed_value,Land Assessed Value,4,
Assessments,building_assessed_value,Building Assessed Value,5,
Assessments,data_source,Data Source,6,
Assessments,assessment_date,Assessment Date,7,
Assessments,tax_year,Tax Year,8,
sales.csv,Assessment Ratio,Assessment Ratio,1,1
sales.csv,Book Page,Book Page,2,2
sales.csv,Deed Type,Deed Type,3,3
sales.csv,Grantee (Buyer),Grantee (Buyer),4,4
sales.csv,Grantor (Seller),Grantor (Seller),5,5
sales.csv,Parcel ID,Parcel ID,6,6
sales.csv,Property Code,Property Code,7,7
sales.csv,Qualified Sale,Qualified Sale,8,8
sales.csv,Sale Date,Sale Date,9,9
sales.csv,Sale Price,Sale Price,10,10
parcels.csv,situs_address,Situs Address,,2.0
parcels.csv,mailing_zip,Mailing ZIP Code,,7.0
parcels.csv,class_code,Property Class Code,,8.0
parcels.csv,lot_size_acres,Lot Size (Acres),,9.0
parcels.csv,land_value,Land Value,,10.0
parcels.csv,building_value,Building Value,,11.0
parcels.csv,total_value,Total Value,,12.0
parcels.csv,nhdra_qualified,NHDRA Qualified,,13.0
parcels.csv,nhdra_vns style desc,Building Style,,15.0
parcels.csv,nhdra_cns area living,Living Area (sq ft),,16.0
parcels.csv,nhdra_vns heat type desc,Heating Type,,20.0
parcels.csv,nhdra_vns heat fuel desc,Heating Fuel,,21.0
parcels.csv,nhdra_rem use code,Use Code,,23.0
parcels.csv,nhdra_cns pct good,Condition Percentage,,25.0
parcels.csv,nhdra_vns grade desc,Grade Description,,26.0
parcels.csv,nhdra_cns area effective,Effective Area (sq ft),,28.0
parcels.csv,nhdra_vns roof cover desc,Roof Cover Type,,29.0
parcels.csv,nhdra_vns grade,Grade Code,,30.0
parcels.csv,nhdra_lnd nbhd,Neighborhood Code,,33.0
